2025-07-12 21:55:40,554 - INFO - Solving IK for target position: [ 5.  -1.5  1. ] and orientation: [ 0.          1.57079633 -1.57079633]
2025-07-12 21:55:40,562 - INFO - Found 12 solutions. Visualizing the best one.
2025-07-12 21:55:40,563 - INFO - Best Solution: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:40,563 - INFO - Visualizing solution in PyBullet...
2025-07-12 21:55:41,041 - INFO - Iteration 1: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,047 - INFO - Iteration 2: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,052 - INFO - Iteration 3: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,056 - INFO - Iteration 4: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,062 - INFO - Iteration 5: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,067 - INFO - Iteration 6: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,072 - INFO - Iteration 7: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,077 - INFO - Iteration 8: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,082 - INFO - Iteration 9: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,087 - INFO - Iteration 10: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,092 - INFO - Iteration 11: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,098 - INFO - Iteration 12: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,103 - INFO - Iteration 13: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,107 - INFO - Iteration 14: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,113 - INFO - Iteration 15: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
2025-07-12 21:55:41,118 - INFO - Iteration 16: Joints: ['-0.693', '1.210', '-0.714', '0.000', '1.072', '0.878'], Linear: 2.025
